X1;X2;Y
.91421
0.58;0.5;3.44994
0.58;0.58;2.98567
0.62;0.58;2.7208
0.62;0.62;2.45593
0.64;0.62;2.32855
0.64;0.64;2.20117
0.65;0.64;2.1404
0.65;0.65;2.07964
0.655;0.65;2.05018
0.655;0.655;2.02073
0.6575;0.655;2.00626
0.6575;0.6575;1.9918
0.65875;0.6575;1.98463
0.65875;0.65875;1.97746
0.659375;0.65875;1.9739
0.659375;0.659375;1.97033
0.659687;0.659375;1.96855
0.659687;0.659687;1.96677
0.659844;0.659687;1.96588
0.659844;0.659844;1.965
0.659922;0.659844;1.96455
0.659922;0.659922;1.96411
0.659961;0.659922;1.96389
0.659961;0.659961;1.96366
0.65998;0.659961;1.96355
0.65998;0.65998;1.96344
0.65999;0.65998;1.96339
0.65999;0.65999;1.96333
0.659995;0.65999;1.9633
0.659995;0.659995;1.96328
0.659998;0.659995;1.96326
0.659998;0.659998;1.96325
0.659999;0.659998;1.96324
0.659999;0.659999;1.96323
